Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer Provided,min salary,max salary,avg salary,State,Age,Python,R,SQL,Machine Learning,Deep Learning,Big Data,Statistic,Math,Master,AWS,SPARK,Job simplified,Seniority,job desc len
Data Scientist (Remote),"Join us as we pursue our vision to eliminate preventable sickness and transform kidney care using AI and data!

At pulseData, we provide value-based healthcare organizations and their care teams a patented data intelligence platform which helps deliver better care at less cost. As a company, we leverage data science and machine learning for Hospitals and Healthcare companies, to identify patients at risk of costly and avoidable medical outcomes.

In this role, you will become a member of pulseData's data science team. You'll work on a suite of data science projects to meet the needs of our clients and get to contribute in massive ways towards a growing organization.",5.0,"pulseData
","New York, NY",1 to 50 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,54,129,91.5,New York,7,0,0,0,1,0,0,0,0,0,0,0,data scientist,na,674
Sr Data Scientist,"Remote, United States
Los Gatos, California
Data Science and Engineering
At Netflix, our mission is to entertain the world. With 200+ million paid members in over 190 countries enjoying TV series, documentaries, and feature films across a wide variety of genres and languages, Netflix is reinventing entertainment from end to end. We are revolutionizing how shows and movies are produced, pushing technological boundaries to efficiently deliver streaming video at a massive scale over the internet, and continuously improving and personalizing how content is presented around the globe.

We are seeking Sr Data Scientists for a range of teams within Data Science and Engineering. From owning experimentation within the Open Connect network, building sophisticated tools on a world-class experimentation platform to provide seamless quality of experience, driving Growth and Membership of Netflix Platform, to unlocking the power of data in highly creative editorial creative space, evaluating the performance and optimizing personalization algorithms to deliver recommendations or building sophisticated experimentation tools - we have a few areas within which we are seeking Data Scientists driven by curiosity and passionate about working with a range of stakeholders.",4.3,"Netflix
","Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),0,0,112,245,178.5,Los Gatos,25,0,1,0,0,0,0,0,0,0,0,0,data scientist,senior,1270
Data Scientist,"locations
San Francisco
Boston
San Jose
Seattle
Los Angeles
View All 8 Locations
time type
Full time
posted on
Posted 10 Days Ago
job requisition id",4.4,"Adobe
","San Francisco, CA",10000+ Employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD),0,0,98,200,149.0,San Francisco,40,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,148
Junior Data Scientist,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes",-1.0,KesarWeb,"Oklahoma City, OK",1 to 50 Employees,-1,-1,-1,-1,-1,0,1,52,109,80.5,Oklahoma City,-1,0,1,0,0,0,0,1,1,0,0,0,data scientist,junior,616
Dashboard Data Scientist,"Chancellor's Office Statement
Join our team at the California State University, Office of the Chancellor, and make a difference in providing access to higher education. We are currently seeking experienced candidates for the position of Dashboard Data Scientist. The CSU Chancellor's Office, located on the waterfront adjacent to the Aquarium of the Pacific in downtown Long Beach, is the headquarters for the nation's largest and most diverse system of higher education. The CSU Chancellor's Office offers a premium benefit package that includes outstanding vacation, health, and dental plans; a fee waiver education program; membership in the California Public Employees Retirement System (PERS); and 14 paid holidays a year.",4.2,"California State University
","Long Beach, CA",10000+ Employees,1962,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),0,1,52,130,91.0,Long Beach,60,0,1,0,0,0,0,0,0,0,0,0,data scientist,na,727
Junior Data Scientist,"About ClimateAi
ClimateAi is on a mission to accelerate resilience in food, water, and energy. The company has launched the first of its kind Resilience-as-a-Service platform in agriculture to help supply chains adapt to climate change. The company was founded at Stanford University and is backed by top VC firms. We are a fast-growing Series-A company looking for passionate individuals who will create solutions for the most important issue of our time.

Culture",5.0,"ClimateAI
","San Francisco, CA",1 to 50 Employees,2008,-1,-1,-1,-1,0,0,75,149,112.0,San Francisco,14,0,1,0,0,0,0,0,0,0,0,0,data scientist,junior,465
Data Scientist,"Job Title: Data Scientist
Responsibilities:
REQUIRED
Comfortable building and maintaining data pipelines using SQL and Python.
Storage of Machine Learning flow models, data, and parameters
Translating business requirements into technical solutions
Track record of partnering with Data Scientists to deliver on business goals",4.2,"WorkCog
","California City, CA",51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,80,120,100.0,California City,5,1,1,1,1,0,0,0,0,0,0,0,data scientist,na,324
Data Scientist,"FocusKPI is looking for a Data Scientist to work for our client, one of the largest retailers/E-Commerce companies in the US. We are seeking an experienced data science individual contributor to enable deep insights and capabilities to our clients through advanced analytics and machine learning techniques (e.g. predictive modeling, segmentation, etc.) This is a full-time contract position.
Work Location: Remote, until office reopens.
Duration: Six months contract with potential for extension or conversion.
Responsibilities:
Perform hands-on modeling and complex analyses using Python, SQL and/or R",3.4,"FocusKPI Inc.
","San Bruno, CA",51 to 200 Employees,2010,-1,-1,-1,-1,0,0,85,148,116.5,San Bruno,12,1,1,1,1,0,0,0,0,0,0,0,data scientist,na,603
Data Scientist,"Overview
IXIS is seeking an energetic, innovative quantitative researcher with fluency in machine learning and classical statistics and a proven ability to execute analytic initiatives to fill the position of Associate Data Scientist for the company. Depending on candidate preference, this position may be full-remote or onsite at our office in Burlington, VT. The core responsibilities for this role include working with a team to design sophisticated quantitative solutions—frequently through integration of novel data sources—and executing these solutions programmatically and reproducibly. The ideal candidate will combine deep technical expertise in programmatic statistical analysis and predictive modeling with strong data IQ to create data-driven visuals and narratives that answer client questions.",4.1,"IXIS Digital
","Burlington, VT",1 to 50 Employees,-1,-1,-1,-1,-1,0,0,77,162,119.5,Burlington,-1,0,0,0,1,0,0,1,0,0,0,0,data scientist,na,808
DATA SCIENTIST,"DATA SCIENTIST
Job Number: 06A6-CDPH-2022
Description

JOB ANNOUNCEMENT
DATA SCIENTIST
Number of Positions: 1
Mission: To promote and improve health by engaging residents, communities, and partners in establishing and implementing policies and services that prioritize residents and communities with the greatest need.",4.3,"City of Chicago
","Chicago, IL",10000+ Employees,-1,-1,-1,-1,-1,0,1,102,110,106.0,Chicago,-1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,318
